Id,WnvPresent
1,0.810348756
2,0.488056735
3,0.960199227
4,0.18327514
5,0.164455108
6,0.170501731
7,0.964396303
8,0.962247367
9,0.077229092
10,0.083145354
11,0.077925336
12,0.093099064
13,0.117218538
14,0.104791957
15,0.096931308
16,0.085478772
17,0.115975385
18,0.116455427
19,0.117726513
20,0.118470518
21,0.122664234
22,0.120790332
23,0.126106243
24,0.121627587
25,0.280525113
26,0.277129302
27,0.292155631
28,0.279665019
29,0.286273992
30,0.283421924
31,0.315756725
32,0.305582446
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0.173144003
58,0.177204697
59,0.174371095
60,0.185921534
61,0.211456308
62,0.197756128
63,0.190690572
64,0.180634353
65,0.189927217
66,0.053879032
67,0.373394718
68,0.054562794
69,0.03068299
70,0.057709695
71,0.421805225
72,0.408544114
73,0.057497438
74,0.055141834
75,0.035749581
76,0.054717833
77,0.05676146
78,0.055502047
79,0.066543477
80,0.064514991
81,0.144756303
82,0.149850185
83,0.142381276
84,0.156198368
85,0.172582624
86,0.163763236
87,0.151848042
88,0.14502288
89,0.036434117
90,0.030515491
91,0.04297119
92,0.027188787
93,0
94,0
95,0.071336507
96,0.045419816
97,0.282320329
98,0.269574994
99,0.307228177
100,0.210201377
101,0.198147547
102,0.218051785
103,0.349377584
104,0.325243357
105,0.056245008
106,0.05695776
107,0.058645912
108,0.059627553
109,0.06786113
110,0.063212571
111,0.07299252
112,0.064735248
113,0.420777025
114,0.423971071
115,0.430372907
116,0.436060076
117,0.464648928
118,0.451002259
119,0.50000103
120,0.477813671
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0.028575807
138,0.028728284
139,0.029407448
140,0.029504525
141,0.030538846
142,0.030186631
143,0.031273141
144,0.030472935
145,0.076314572
146,0.064835833
147,0.090078171
148,0.059294077
149,0.029353525
150,0.05729427
151,0.088468175
152,0.092908484
153,0.114911105
154,0.108442912
155,0.114009895
156,0.099931973
157,0.064484319
158,0.068480391
159,0.108237712
160,0.110774289
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0.120944364
170,0.12587047
171,0.124262145
172,0.136829393
173,0.165162445
174,0.150464445
175,0.146018669
176,0.13364867
177,0.069953529
178,0.074424056
179,0.07079014
180,0.082878756
181,0.104930439
182,0.093494982
183,0.087302588
184,0.077369733
185,0.213753588
186,0.104022034
187,0.316458596
188,0.05434815
189,0.059281988
190,0.029338227
191,0.363827282
192,0.344804397
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0.032039497
202,0.029333113
203,0.03661179
204,0.028460958
205,0.028625462
206,0.028417743
207,0.040577915
208,0.039846164
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0.054446483
218,0.05198049
219,0.057980471
220,0.052288108
221,0.028439572
222,0.0276351
223,0.065250948
224,0.062207894
225,0.1022036
226,0.108800251
227,0.102438368
228,0.11999896
229,0.147664755
230,0.13336517
231,0.121079287
232,0.10957277
233,0.053226982
234,0.025360567
235,0.060259298
236,0
237,0
238,0
239,0.070519756
240,0.06682877
241,0.114575138
242,0.11718749
243,0.118309186
244,0.123302717
245,0.136857355
246,0.129494766
247,0.138160943
248,0.126993204
249,0.238679056
250,0.241248472
251,0.242335194
252,0.24961357
253,0.277971589
254,0.262335665
255,0.265660164
256,0.251820714
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0.030988209
266,0.0331155
267,0.031036381
268,0.036592793
269,0.045357254
270,0.040777265
271,0.03825711
272,0.033792386
273,0.456577957
274,0.436762819
275,0.477504149
276,0.424469018
277,0.243073848
278,0.333402384
279,0.477669667
280,0.483948685
281,0.212363616
282,0.216176263
283,0.224717347
284,0.228178096
285,0.256467
286,0.241229543
287,0.273134313
288,0.247426067
289,0.119470253
290,0.121019732
291,0.124172647
292,0.124361129
293,0.130011302
294,0.126248466
295,0.150474303
296,0.135568635
297,0.071959259
298,0.067398283
299,0.070941476
300,0.037761318
301,0.032926443
302,0.034785845
303,0.071044168
304,0.070559945
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0.187363368
